community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth
光复西路2163弄,长风,长风,30,1.7,Null,168,9,35,47384,暂无信息,31.2276,121.413,{光复西路2163弄},5011000006867,0.282268621059
紫苑大厦,建国西路,建国西路,18,3,Null,57,2,35,50528,上海紫苑管理有限公司,31.2098,121.468,{肇嘉浜路268号},5011000016333,0.305929720773
家化绿苑,曹家渡,曹家渡,18,2,Null,136,3,30,46650,上海家化房地产开发经营公司,31.2403,121.441,{余姚路500弄},5011000018175,0.326502496986
大连西路180号,曲阳,曲阳,30,3,Null,96,2,35,39812,上海香杉房地产发展有限公司,31.2834,121.498,{大连西路180号},5011000018805,0.282288544246
阳光城新界（别墅）,马陆,嘉定马陆,Null,0,Null,0,1,0,Null,暂无信息,0,0,{嘉定白银路518弄},5011102210155,Null
德安大厦,江宁路,江宁路,18,3.8,Null,240,3,15,61250,上海德安房产开发公司,31.2403,121.449,{常德路812弄},5011000017272,0.153051667757
北京里,南京东路,南京东路,23,0,Null,3,3,0,73533,暂无信息,31.2465,121.491,{北京东路288弄},5011000003204,0.530361399505
金帝名园,胥江,胥江,1,0,板楼,910,40,0,22430,暂无信息,31.2847,120.601,{解放西路168号（解放西路与西环路交汇处）},239821887922561,0.328651962126
天宝路388弄,临平路,临平路,27,1.5,Null,130,7,42,30907,曲阳房地产开发有限公司,31.2723,121.505,{天宝路388弄},5011000006742,0.282307695243
锦西路150弄,鞍山,鞍山,36,0,Null,89,3,0,55293,上海市晟隆有限公司,31.2792,121.515,{锦西路150弄},5011102208649,0.282279477156
三湘花园,凉城,凉城,16,3,Null,200,6,30,43295,三湘房地产开发经营有限公司,31.3047,121.473,{广粤路835弄},5011000004325,0.115393173743
旭辉新构想,洋泾,洋泾,9,2.1,Null,484,9,40,76445,上海鑫辰置业发展有限公司,31.2505,121.551,{巨野路61弄1-10号},5011000013165,0.282269534178
高邮路22号,衡山路,衡山路,Null,0,Null,1,2,0,163273,暂无信息,31.2167,121.445,{高邮路22号},5011000010531,0.28226719139
人民路792号,豫园,豫园,Null,2,Null,0,1,2,Null,人民路792号,31.2325,121.49,{人民路792号},5011000018518,Null
松花江路2605弄,曲阳,曲阳,28,0,Null,48,3,0,30012,上海上房置换,31.2983,121.505,{松花江路2605弄},5011102208925,Null
瑞富广场公寓,南门,南门,11,1.3,Null,468,2,15,7739,暂无信息,31.2976,120.632,{人民路458号},239821887922553,0.275108370474
嘉旺苑,江桥,江桥,10,2.3,Null,710,25,40,32724,上海嘉定区房地产,31.2629,121.332,{靖远路1288弄},5011000012672,0.276268346674
南车站路450弄,世博滨江,世博滨江,41,0,Null,53,4,0,71924,暂无信息,31.2109,121.5,{南车站路450弄},5011000004850,0.282289057069
场中小区,彭浦,彭浦,21,0.9,Null,54,5,20,30537,彭浦房产开发有限公司,31.3123,121.457,{场中路2187弄},5011000018964,0.288095302727
双花公寓,黄兴公园,黄兴公园,32,1.8,板楼,691,8,30,44207,凯晨房产开发有限公司,31.294,121.534,{双阳路666弄},5011000017326,0.401974317631
合生时代锦苑（别墅）,三林,三林,1,1.7,Null,103,26,40,Null,合生三麟房地产开发有限公司,31.1572,121.496,{西营南路518弄},5011000019402,Null
闸殷路72号,新江湾城,新江湾城,19,0,Null,18,2,0,Null,上海老城开发,0,0,{闸殷路72号},5011102210150,Null
老安村,顾村,顾村,Null,0,Null,1,2,0,Null,暂无信息,31.3744,121.378,{陈北队122号},509821540057699,Null
紫苑小区,奉城,奉城,34,1.5,板楼,1535,152,40,8352,上海浦城房地产有限公司,30.9083,121.623,{紫苑小区},5011000013313,0.263536096257
太原路196号,建国西路,建国西路,Null,0,Null,5,2,0,94895,暂无信息,31.2113,121.462,{太原路196号},5011000008957,0.282278207317
宝石公寓,古北,古北,25,3,Null,236,25,20,53562,中华企业股份有限公司,31.2012,121.399,{水城南路51弄16-39号},5011000015455,0.501312121552
海乾公寓,五里桥,五里桥,21,4.5,Null,56,5,25,74074,上海海乾房地产建筑公司,31.2124,121.489,{斜土路145弄},5011000014027,0.440817196282
淮海花园,新华路,新华路,15,1.8,Null,270,6,30,58419,上海银丰房地产开发有限公司,31.2068,121.435,{淮海西路288弄},5011000018292,0.121067221561
昌吉路239号,安亭,安亭,53,0,Null,11,2,0,Null,暂无信息,31.3009,121.166,{昌吉路239号},509977363956253,Null
瞿溪路1420弄,打浦桥,打浦桥,32,0,Null,2,2,0,Null,暂无信息,31.205,121.481,{瞿溪路1420弄},5011000005953,Null
永嘉路315弄,建国西路,建国西路,Null,0,Null,2,13,0,Null,暂无信息,31.2153,121.465,{永嘉路315弄},5011000010518,Null
舒庭苑,真如,真如,18,2.15,Null,16,2,40,28245,绿地控股集团有限公司,31.2536,121.4,{北石路500弄},5011000014369,Null
浦汇大厦,南京东路,南京东路,18,0,Null,80,2,0,Null,暂无信息,31.241,121.491,{福州路318号},5011000017463,Null
金光花苑,桃浦,桃浦,23,1.8,Null,145,55,40,26523,暂无信息,31.2872,121.396,{桃浦西路955弄},5011000012938,0.0912612143666
云树欣居,泥城镇,泥城镇,8,0,Null,690,51,0,11073,暂无信息,30.9047,121.81,{彩云路717弄},5011000000791,0.011698206788
江阴路140号,人民广场,人民广场,Null,2,Null,1,2,45,120490,上海新长宁（集团）有限公司,31.2355,121.475,{江阴路140号},5011000020218,0.282281094941
新世纪588广场（商住）,重固,青浦重固,Null,0,Null,0,1,0,Null,暂无信息,0,0,{重固大街588弄},5011102207528,Null
郑家巷小区,南京西路,南京西路,33,0,Null,43,24,0,63375,暂无信息,31.2388,121.463,{泰兴路383弄},5011000015031,0.0124509244004
北宝兴路345弄,闸北公园,凉城,19,0,Null,102,9,0,49204,暂无信息,31.2812,121.47,{北宝兴路345弄},5011000003303,0.282268018013
